source,year,primary_url,source_type,mechanism_or_claim,step6_use,adopted_or_rejected,zotero_status
"Conditionally dependent strategies for multiple-step-ahead prediction in local learning",2011,https://orbi.umons.ac.be/handle/20.500.12907/46166,journal_repository,"multi-output prediction preserves cross-horizon stochastic structure better than independent single-output strategies","establishes output-coupling motivation","adopt problem motivation; reject claim that coupling guarantees point-MSE gain","external refresh; Zotero presence not audited"
"Stratify: unifying multi-step forecasting strategies",2025,https://link.springer.com/article/10.1007/s10618-025-01135-1,journal,"DirMO uses a fixed block size sigma and multiple block predictors; Stratify searches combinations of multi-step strategies","closest fixed-coupling-scale forecasting prior","use as mandatory narrative baseline; SIFF must remain one full-domain model without requested-H strategy selection","external discovery; Zotero presence not audited"
"CViT: Continuous Vision Transformer for Operator Learning",2025,https://openreview.net/forum?id=cRnCcuLvyr,conference,"conditioned neural field with coordinate embedding and query-wise cross-attention; official code supports arbitrary-resolution queries","bounds generic coordinate-conditioned field novelty","adopt coordinate-conditioning as design evidence; reject neural-field or arbitrary-resolution novelty claim","external refresh plus official GitHub inspection"
"HyperDeepONet",2023,https://openreview.net/forum?id=OAw6V3ZAhSd,conference,"hypernetwork injects input-function information into target-function parameters","bounds generated-weight and hypernetwork novelty","do not claim generated scale-conditioned weights as primitive novelty","external refresh; official implementation unavailable in inspected sources"
"BASE Layers",2021,https://proceedings.mlr.press/v139/lewis21a.html,conference,"balanced token-expert assignment with equal expert load; fairseq implementation uses assignment before expert execution","closest global balanced-assignment prior","adopt marginal-constrained assignment as solver evidence; reject balanced assignment novelty","external refresh plus official fairseq implementation inspection"
"Mixture-of-Experts with Expert Choice Routing",2022,https://proceedings.neurips.cc/paper_files/paper/2022/hash/2f00ecd787b432c1d36f3de9800728eb-Abstract-Conference.html,conference,"experts select fixed-capacity token buckets while tokens may receive variable expert count","closest skill-budget and starvation-control prior","separate compute/load capacity from forecast skill mass; include generic balanced control","external refresh; official paper and Google Research explanation inspected"
"Selective Sinkhorn Routing",2025,https://arxiv.org/abs/2511.08972,preprint,"entropy-regularized optimal transport for balanced routing","bounds Sinkhorn and entropic-OT novelty","use log-domain numerical policy only; reject Sinkhorn novelty","external discovery; official code not located"
"Expert Loss Integration",2026,https://arxiv.org/abs/2605.10330,preprint,"direct per-expert forecast loss and masking-based expert specialization","closest direct skill supervision prior","retain EQUAL_SKILL and PCC as mandatory controls; direct expert loss is not Contribution 2","external discovery; Zotero presence not audited"
"AME-TS",2026,https://arxiv.org/abs/2605.25166,preprint,"training-only structural profiles guide time-series MoE specialization","bounds structural routing prior","reject generic structure-guided routing claim; SIFF claim must be decoder-side scale-indexed operator","external discovery; Zotero presence not audited"
"MoHETS",2026,https://arxiv.org/abs/2601.21866,preprint,"heterogeneous convolutional and Fourier experts provide different forecasting inductive biases","bounds heterogeneous-expert novelty","independent-scope matched control required; reject multiple-expert novelty","external discovery; Zotero presence not audited"
"Advancing Expert Specialization for Better MoE",2026,https://openreview.net/forum?id=iydmH9boLb,conference,"orthogonality and routing-variance objectives reduce expert overlap","bounds diversity-regularization novelty","do not add output decorrelation or orthogonality as paper-core mechanism","external discovery; Zotero presence not audited"
